x	y	feature
4923.862	734.94073	Chat
5095.887	804.6162	Trp73
4851.052	736.0859	Ano1
4851.176	738.84796	Ano1
4899.6523	700.72723	Ano1
4966.035	717.3051	Ano1
5049.5625	835.46344	Ano1
5050.34	833.1196	Ano1
5051.7656	822.4636	Ano1
5052.7207	834.71356	Ano1
5071.901	747.43317	Ano1
5149.289	850.2959	Ano1
5157.4424	712.11646	Ano1
5251.221	777.9597	Ano1
5395.6567	701.6306	Ano1
5068.6167	750.3876	Ebf3
5324.3486	803.44934	Trp73
5107.4697	760.1112	Ebf3
5108.1113	761.7793	Ebf3
4924.923	743.214	Chat
4926.5645	738.8242	Chat
4949.591	868.57	Ano1
5053.3486	833.4353	Ano1
5055.784	834.5048	Ano1
5137.8604	802.60236	Ano1
5231.046	886.4328	Chat
5388.391	857.36786	Ano1
5394.917	692.00696	Ano1
5397.021	701.5188	Ano1
5408.8213	810.9645	Chat
5415.4727	738.0056	Ano1
5050.412	822.6869	Ano1
5189.1274	864.56055	Ano1
4964.054	713.59515	Ano1
5051.987	836.5138	Ano1
5277.038	742.52216	Ano1
5402.032	702.4105	Ano1
5040.9375	878.51434	Trp73
4965.4736	177.47495	Spag16
4922.093	738.95825	Chat
4935.5864	750.8667	Chat
5153.8193	821.7838	Spag16
4873.0894	629.2821	Ebf3
5008.2725	737.27673	Ebf3
5368.2383	752.103	Ebf3
5412.9985	469.98907	Ebf3
4853.5093	701.10095	Ebf3
5128.587	853.79553	Ebf3
5429.2686	770.9586	Ebf3
4875.2695	794.54675	Chat
4925.9175	741.32355	Chat
4934.227	736.76117	Chat
5058.2217	836.28217	Chat
4916.074	740.74786	Chat
4823.8267	686.5338	Ebf3
4844.581	644.9057	Ebf3
4863.732	626.1777	Ebf3
4921.6157	466.91763	Ebf3
5042.976	479.36066	Ano1
5141.1304	745.9772	Ebf3
5147.406	815.7433	Ebf3
5284.758	856.7239	Ebf3
5351.9365	748.65344	Ano1
5387.8267	860.1413	Ano1
5388.25	846.5539	Ano1
5124.8096	845.0585	Trp73
5161.552	742.4195	Trp73
4972.681	691.5443	Nts
2263.502	769.176	Ano1
1915.008	465.5353	Spag16
1963.6667	689.77814	Spag16
2073.8823	290.7105	Spag16
2300.1812	771.5614	Ano1
2300.302	205.238	Spag16
2122.992	899.1158	Ano1
2379.4526	851.8291	Ebf3
2773.1753	646.35974	Chat
2932.992	853.3675	Trp73
2438.626	813.4191	Ebf3
2985.7942	787.28357	Ebf3
2697.7444	185.94685	Spag16
2831.2183	807.2497	Spag16
2921.7117	825.1009	Trp73
2992.7327	890.81384	Spag16
2688.9055	859.6735	Ebf3
2869.9407	705.62714	Ebf3
2516.1265	849.6119	Ano1
2853.46	679.35736	Ano1
2514.3904	850.63086	Ano1
2470.7124	844.2645	Spag16
2661.4238	848.1753	Spag16
3011.8755	755.9907	Ebf3
2463.0918	821.6459	Ebf3
2470.3618	845.7355	Spag16
2537.3691	833.56036	Chat
2454.1506	825.89734	Ano1
2537.1577	849.59845	Ebf3
2599.8079	622.17126	Ano1
2739.5923	867.35803	Ebf3
2758.928	630.7562	Ebf3
2783.6582	891.4077	Ano1
3007.651	755.51654	Ano1
2932.892	818.6413	Trp73
3732.8567	3271.5337	Chat
3950.9094	2727.2036	Chat
4159.977	3198.9402	Chat
3643.507	2946.886	Trp73
3651.8403	2902.265	Trp73
3695.7063	3040.121	Trp73
